,bound_0,bound_1,bound_2,bound_3,bound_4,bound_5,bound_6,bound_7,bound_8,bound_9,bound_10,bound_11,bound_12,bound_13,bound_14,bound_15,bound_16,bound_17,bound_18,bound_19,bound_20,bound_21,bound_22,bound_23,bound_24,bound_25,bound_26,bound_27,bound_28,bound_29,bound_30,bound_31,bound_32,bound_33,bound_34,bound_35,bound_36,bound_37,bound_38,bound_39,bound_40,bound_41,bound_42,bound_43,bound_44,bound_45,bound_46,bound_47,bound_48,bound_49,bound_50,bound_51,bound_52,bound_53,bound_54,bound_55,bound_56,bound_57,bound_58,bound_59,bound_60,bound_61,bound_62,bound_63,bound_64,bound_65,bound_66,bound_67,bound_68,bound_69,bound_70,bound_71,bound_72,bound_73,bound_74,bound_75,bound_76,bound_77,bound_78,bound_79,bound_80,bound_81,bound_82,bound_83,bound_84,bound_85,bound_86,bound_87,bound_88,bound_89,bound_90,bound_91,bound_92,bound_93,bound_94,bound_95,bound_96,bound_97,bound_98,bound_99
0,-38.01357680512411,-37.32606448896156,-37.17961553907728,-37.09338739444161,-37.029956711262585,-36.978231820052116,-36.93353692314437,-36.89349729868887,-36.85675548174116,-36.82246866024381,-36.79008044608619,-36.759205657440525,-36.72956731013771,-36.700959928089986,-36.67322706773548,-36.64624696062663,-36.619923012833425,-36.59417732611866,-36.56894616332466,-36.544176701579076,-36.51982466053385,-36.495852538687345,-36.47222828082544,-36.44892425665187,-36.425916467704475,-36.40318392421425,-36.38070815017646,-36.35847278633992,-36.33646326882239,-36.31466656674302,-36.29307096635315,-36.27166589212923,-36.25044175749101,-36.22938983944837,-36.208502172715235,-36.18777145976823,-36.16719099404834,-36.1467545940608,-36.126456546562956,-36.10629155737092,-36.08625470858557,-36.066341421252986,-36.04654742264657,-36.02686871749636,-36.00730156260344,-35.98784244436857,-35.96848805883915,-35.949235293940006,-35.93008121360435,-35.91102304356362,-35.89205815858971,-35.87318407101313,-35.8543984203646,-35.835698964009154,-35.81708356865893,-35.79855020266614,-35.78009692901029,-35.76172189890464,-35.74342334595636,-35.72519958082273,-35.70704898631275,-35.68897001288938,-35.67096117453308,-35.653021044931556,-35.635148253964616,-35.61734148445667,-35.59959946917208,-35.58192098803146,-35.56430486552928,-35.54674996833494,-35.52925520306183,-35.5118195141897,-35.494441882127894,-35.47712132140755,-35.45985687899254,-35.44264763269948,-35.42549268971832,-35.40839118522568,-35.391342281083865,-35.37434516461898,-35.35739904747249,-35.340503164520555,-35.32365677285645,-35.306859150831514,-35.29010959715042,-35.273407430017095,-35.2567519863278,-35.240142620908074,-35.223578705790786,-35.20705962953238,-35.190584796565034,-35.1741536265822,-35.15776555395562,-35.14142002718165,-35.12511650835521,-35.108854472669584,-35.09263340794054,-35.07645281415332,-35.06031220303109,-35.044211097623666
1,-37.679767664846715,-36.99225534868417,-36.84580639879989,-36.75957825416422,-36.69614757098519,-36.64442267977472,-36.59972778286698,-36.559688158411475,-36.522946341463765,-36.48865951996641,-36.4562713058088,-36.42539651716313,-36.395758169860315,-36.36715078781259,-36.339417927458086,-36.31243782034923,-36.28611387255603,-36.260368185841266,-36.235137023047265,-36.21036756130168,-36.186015520256454,-36.16204339840995,-36.138419140548045,-36.115115116374476,-36.09210732742708,-36.06937478393685,-36.046899009899064,-36.02466364606252,-36.002654128545,-35.980857426465626,-35.95926182607575,-35.93785675185183,-35.916632617213615,-35.89558069917098,-35.87469303243784,-35.85396231949083,-35.833381853770945,-35.812945453783406,-35.79264740628556,-35.77248241709353,-35.752445568308175,-35.73253228097559,-35.71273828236917,-35.69305957721897,-35.67349242232604,-35.65403330409117,-35.634678918561754,-35.61542615366261,-35.59627207332696,-35.57721390328622,-35.55824901831232,-35.53937493073573,-35.52058928008721,-35.50188982373176,-35.483274428381534,-35.46474106238875,-35.446287788732896,-35.427912758627244,-35.40961420567896,-35.39139044054534,-35.373239846035354,-35.35516087261198,-35.33715203425569,-35.31921190465416,-35.30133911368722,-35.28353234417927,-35.26579032889468,-35.24811184775407,-35.230495725251885,-35.21294082805755,-35.195446062784434,-35.17801037391231,-35.1606327418505,-35.143312181130156,-35.126047738715144,-35.10883849242209,-35.09168354944092,-35.074582044948286,-35.05753314080647,-35.040536024341584,-35.023589907195095,-35.00669402424316,-34.98984763257906,-34.97305001055412,-34.956300456873024,-34.9395982897397,-34.922942846050404,-34.90633348063068,-34.88976956551339,-34.873250489254985,-34.85677565628764,-34.84034448630481,-34.823956413678225,-34.80761088690426,-34.79130736807782,-34.77504533239219,-34.758824267663144,-34.742643673875925,-34.72650306275369,-34.71040195734627
2,-37.48979956079158,-36.802287244629035,-36.655838294744754,-36.569610150109085,-36.50617946693005,-36.45445457571958,-36.409759678811845,-36.36972005435634,-36.33297823740863,-36.29869141591128,-36.266303201753665,-36.235428413108,-36.20579006580518,-36.17718268375746,-36.14944982340295,-36.1224697162941,-36.0961457685009,-36.07040008178613,-36.04516891899213,-36.02039945724655,-35.99604741620132,-35.972075294354816,-35.94845103649291,-35.92514701231934,-35.90213922337195,-35.87940667988172,-35.85693090584393,-35.834695542007395,-35.812686024489864,-35.79088932241049,-35.76929372202062,-35.7478886477967,-35.72666451315848,-35.705612595115845,-35.68472492838271,-35.6639942154357,-35.64341374971581,-35.622977349728274,-35.60267930223043,-35.582514313038395,-35.56247746425304,-35.54256417692046,-35.52277017831404,-35.503091473163835,-35.48352431827091,-35.46406520003604,-35.44471081450662,-35.42545804960748,-35.406303969271825,-35.38724579923109,-35.368280914257184,-35.3494068266806,-35.330621176032075,-35.311921719676626,-35.2933063243264,-35.274772958333614,-35.25631968467776,-35.237944654572104,-35.21964610162382,-35.201422336490204,-35.18327174198022,-35.16519276855685,-35.147183930200555,-35.12924380059903,-35.11137100963209,-35.09356424012414,-35.07582222483955,-35.058143743698935,-35.04052762119675,-35.022972724002415,-35.0054779587293,-34.988042269857175,-34.970664637795366,-34.95334407707502,-34.93607963466001,-34.918870388366955,-34.90171544538579,-34.88461394089315,-34.86756503675134,-34.85056792028645,-34.83362180313996,-34.81672592018803,-34.799879528523924,-34.783081906498985,-34.76633235281789,-34.749630185684566,-34.73297474199527,-34.716365376575546,-34.69980146145826,-34.68328238519985,-34.666807552232505,-34.650376382249675,-34.63398830962309,-34.617642782849124,-34.601339264022684,-34.585077228337056,-34.56885616360801,-34.55267556982079,-34.53653495869856,-34.52043385329114
3,-37.35872297456569,-36.67121065840314,-36.52476170851886,-36.43853356388319,-36.37510288070416,-36.32337798949369,-36.27868309258595,-36.23864346813045,-36.20190165118274,-36.167614829685384,-36.13522661552777,-36.1043518268821,-36.07471347957929,-36.04610609753156,-36.01837323717706,-35.991393130068204,-35.965069182275,-35.93932349556024,-35.91409233276624,-35.88932287102065,-35.86497082997543,-35.84099870812892,-35.81737445026702,-35.79407042609345,-35.77106263714605,-35.748330093655824,-35.72585431961804,-35.703618955781494,-35.68160943826397,-35.6598127361846,-35.638217135794726,-35.616812061570805,-35.59558792693259,-35.57453600888995,-35.55364834215681,-35.532917629209805,-35.51233716348992,-35.49190076350238,-35.47160271600453,-35.4514377268125,-35.43140087802715,-35.41148759069456,-35.391693592088146,-35.37201488693794,-35.352447732045015,-35.332988613810144,-35.313634228280726,-35.29438146338158,-35.27522738304593,-35.256169213005194,-35.23720432803129,-35.218330240454705,-35.19954458980618,-35.18084513345073,-35.16222973810051,-35.14369637210772,-35.12524309845187,-35.106868068346216,-35.088569515397936,-35.07034575026431,-35.052195155754326,-35.034116182330955,-35.01610734397466,-34.99816721437313,-34.98029442340619,-34.96248765389824,-34.944745638613654,-34.92706715747304,-34.90945103497086,-34.89189613777652,-34.87440137250341,-34.85696568363128,-34.83958805156947,-34.82226749084913,-34.805003048434116,-34.78779380214106,-34.770638859159895,-34.75353735466726,-34.73648845052544,-34.71949133406056,-34.70254521691407,-34.68564933396213,-34.66880294229803,-34.65200532027309,-34.635255766591996,-34.61855359945867,-34.601898155769376,-34.58528879034965,-34.56872487523236,-34.55220579897396,-34.53573096600661,-34.51929979602378,-34.5029117233972,-34.48656619662323,-34.47026267779679,-34.45400064211116,-34.437779577382116,-34.4215989835949,-34.405458372472665,-34.38935726706524
4,-37.2599156489089,-36.572403332746354,-36.42595438286207,-36.339726238226405,-36.27629555504737,-36.2245706638369,-36.179875766929165,-36.13983614247366,-36.10309432552595,-36.0688075040286,-36.036419289870985,-36.005544501225316,-35.9759061539225,-35.94729877187478,-35.91956591152027,-35.89258580441142,-35.866261856618216,-35.84051616990345,-35.81528500710945,-35.79051554536387,-35.76616350431864,-35.742191382472136,-35.71856712461023,-35.69526310043666,-35.672255311489266,-35.64952276799904,-35.62704699396125,-35.604811630124715,-35.58280211260718,-35.56100541052781,-35.53940981013794,-35.51800473591402,-35.4967806012758,-35.475728683233164,-35.454841016500026,-35.43411030355302,-35.41352983783313,-35.39309343784559,-35.37279539034775,-35.352630401155714,-35.33259355237036,-35.31268026503778,-35.29288626643136,-35.273207561281154,-35.25364040638823,-35.23418128815336,-35.21482690262394,-35.1955741377248,-35.176420057389144,-35.15736188734841,-35.138397002374504,-35.11952291479792,-35.100737264149394,-35.082037807793945,-35.06342241244372,-35.04488904645093,-35.02643577279508,-35.00806074268942,-34.98976218974114,-34.97153842460752,-34.95338783009754,-34.93530885667417,-34.917300018317874,-34.89935988871635,-34.88148709774941,-34.86368032824146,-34.84593831295687,-34.828259831816254,-34.81064370931407,-34.793088812119734,-34.77559404684662,-34.758158357974494,-34.740780725912686,-34.72346016519234,-34.70619572277733,-34.688986476484274,-34.67183153350311,-34.65473002901047,-34.63768112486866,-34.62068400840377,-34.60373789125728,-34.58684200830535,-34.56999561664124,-34.553197994616305,-34.53644844093521,-34.519746273801886,-34.50309083011259,-34.486481464692865,-34.46991754957558,-34.45339847331717,-34.436923640349825,-34.420492470366995,-34.40410439774041,-34.387758870966444,-34.37145535214,-34.355193316454375,-34.33897225172533,-34.32279165793811,-34.30665104681588,-34.29054994140846
5,-37.181519320512145,-36.4940070043496,-36.34755805446532,-36.26132990982965,-36.19789922665062,-36.14617433544015,-36.10147943853241,-36.061439814076905,-36.024697997129195,-35.99041117563184,-35.95802296147423,-35.92714817282856,-35.897509825525745,-35.86890244347802,-35.841169583123516,-35.81418947601466,-35.78786552822146,-35.762119841506696,-35.736888678712695,-35.71211921696711,-35.687767175921884,-35.66379505407538,-35.640170796213475,-35.616866772039906,-35.59385898309251,-35.57112643960228,-35.548650665564494,-35.52641530172795,-35.50440578421043,-35.482609082131056,-35.46101348174118,-35.43960840751726,-35.418384272879045,-35.39733235483641,-35.37644468810327,-35.35571397515626,-35.335133509436375,-35.314697109448836,-35.29439906195099,-35.27423407275896,-35.254197223973605,-35.23428393664102,-35.2144899380346,-35.1948112328844,-35.17524407799147,-35.1557849597566,-35.136430574227184,-35.11717780932804,-35.09802372899239,-35.07896555895165,-35.06000067397775,-35.04112658640116,-35.02234093575264,-35.00364147939719,-34.985026084046964,-34.96649271805418,-34.948039444398326,-34.929664414292674,-34.91136586134439,-34.89314209621077,-34.874991501700784,-34.85691252827741,-34.83890368992112,-34.82096356031959,-34.80309076935265,-34.7852839998447,-34.76754198456011,-34.7498635034195,-34.732247380917315,-34.71469248372298,-34.697197718449864,-34.67976202957774,-34.66238439751593,-34.645063836795586,-34.627799394380574,-34.61059014808752,-34.59343520510635,-34.576333700613716,-34.5592847964719,-34.542287680007014,-34.525341562860525,-34.50844567990859,-34.49159928824449,-34.47480166621955,-34.458052112538454,-34.44134994540513,-34.424694501715834,-34.40808513629611,-34.39152122117882,-34.375002144920416,-34.35852731195307,-34.34209614197024,-34.325708069343655,-34.30936254256969,-34.29305902374325,-34.27679698805762,-34.260575923328574,-34.244395329541355,-34.22825471841912,-34.2121536130117
6,-37.117208430598524,-36.42969611443598,-36.283247164551696,-36.19701901991603,-36.13358833673699,-36.08186344552652,-36.03716854861879,-35.997128924163285,-35.960387107215574,-35.92610028571822,-35.89371207156061,-35.86283728291494,-35.833198935612124,-35.8045915535644,-35.776858693209896,-35.74987858610104,-35.72355463830784,-35.697808951593075,-35.672577788799074,-35.64780832705349,-35.62345628600826,-35.59948416416176,-35.575859906299854,-35.552555882126285,-35.52954809317889,-35.50681554968866,-35.484339775650874,-35.46210441181434,-35.440094894296806,-35.418298192217435,-35.39670259182756,-35.37529751760364,-35.354073382965424,-35.33302146492279,-35.31213379818965,-35.29140308524264,-35.270822619522754,-35.250386219535216,-35.23008817203737,-35.20992318284534,-35.189886334059985,-35.1699730467274,-35.15017904812098,-35.13050034297078,-35.11093318807785,-35.09147406984298,-35.07211968431356,-35.05286691941442,-35.03371283907877,-35.01465466903803,-34.995689784064126,-34.97681569648754,-34.95803004583902,-34.93933058948357,-34.920715194133344,-34.902181828140556,-34.883728554484705,-34.865353524379046,-34.847054971430765,-34.828831206297146,-34.81068061178716,-34.79260163836379,-34.7745928000075,-34.75665267040597,-34.73877987943903,-34.72097310993108,-34.70323109464649,-34.68555261350588,-34.667936491003694,-34.65038159380936,-34.63288682853624,-34.61545113966412,-34.59807350760231,-34.580752946881965,-34.56348850446695,-34.5462792581739,-34.52912431519273,-34.512022810700095,-34.49497390655828,-34.47797679009339,-34.461030672946904,-34.44413478999497,-34.427288398330866,-34.41049077630593,-34.39374122262483,-34.37703905549151,-34.36038361180221,-34.34377424638249,-34.3272103312652,-34.310691255006795,-34.29421642203945,-34.27778525205662,-34.261397179430034,-34.245051652656066,-34.228748133829626,-34.212486098144,-34.19626503341495,-34.180084439627734,-34.1639438285055,-34.14784272309808
7,-37.06320718428608,-36.37569486812353,-36.22924591823925,-36.14301777360358,-36.07958709042455,-36.027862199214084,-35.98316730230634,-35.94312767785084,-35.90638586090313,-35.872099039405775,-35.83971082524816,-35.80883603660249,-35.77919768929968,-35.750590307251954,-35.72285744689745,-35.695877339788595,-35.66955339199539,-35.64380770528063,-35.61857654248663,-35.593807080741044,-35.56945503969582,-35.54548291784931,-35.52185865998741,-35.49855463581384,-35.47554684686644,-35.452814303376215,-35.43033852933843,-35.408103165501885,-35.38609364798436,-35.36429694590499,-35.34270134551512,-35.321296271291196,-35.30007213665298,-35.27902021861034,-35.2581325518772,-35.2374018389302,-35.21682137321031,-35.19638497322277,-35.176086925724924,-35.15592193653289,-35.13588508774754,-35.115971800414954,-35.09617780180854,-35.07649909665833,-35.056931941765406,-35.037472823530535,-35.01811843800112,-34.998865673101974,-34.97971159276632,-34.960653422725585,-34.94168853775168,-34.922814450175096,-34.90402879952657,-34.88532934317112,-34.8667139478209,-34.84818058182811,-34.82972730817226,-34.81135227806661,-34.79305372511833,-34.7748299599847,-34.75667936547472,-34.738600392051346,-34.72059155369505,-34.702651424093524,-34.684778633126584,-34.666971863618635,-34.649229848334045,-34.63155136719343,-34.61393524469125,-34.59638034749691,-34.5788855822238,-34.56144989335167,-34.54407226128986,-34.52675170056952,-34.50948725815451,-34.49227801186145,-34.475123068880286,-34.45802156438765,-34.44097266024583,-34.42397554378095,-34.40702942663446,-34.39013354368252,-34.37328715201842,-34.35648952999348,-34.33973997631239,-34.32303780917906,-34.30638236548977,-34.28977300007004,-34.273209084952754,-34.25669000869435,-34.240215175727,-34.22378400574417,-34.20739593311759,-34.19105040634362,-34.17474688751718,-34.15848485183155,-34.14226378710251,-34.12608319331529,-34.10994258219306,-34.093841476785634
8,-37.017080116457706,-36.32956780029516,-36.18311885041088,-36.09689070577521,-36.033460022596174,-35.981735131385705,-35.93704023447797,-35.89700061002247,-35.860258793074756,-35.8259719715774,-35.79358375741979,-35.76270896877412,-35.733070621471306,-35.70446323942358,-35.67673037906908,-35.64975027196022,-35.62342632416702,-35.59768063745226,-35.57244947465826,-35.54768001291267,-35.523327971867445,-35.49935585002094,-35.475731592159036,-35.45242756798547,-35.42941977903807,-35.40668723554784,-35.384211461510056,-35.36197609767352,-35.33996658015599,-35.31816987807662,-35.296574277686744,-35.27516920346282,-35.253945068824606,-35.23289315078197,-35.21200548404883,-35.191274771101824,-35.170694305381936,-35.1502579053944,-35.12995985789655,-35.10979486870452,-35.08975801991917,-35.06984473258658,-35.050050733980164,-35.03037202882996,-35.01080487393703,-34.99134575570216,-34.971991370172745,-34.9527386052736,-34.93358452493795,-34.91452635489721,-34.89556146992331,-34.876687382346724,-34.8579017316982,-34.83920227534275,-34.820586879992526,-34.80205351399974,-34.78360024034389,-34.76522521023823,-34.74692665728995,-34.72870289215633,-34.710552297646345,-34.69247332422297,-34.67446448586668,-34.65652435626515,-34.63865156529821,-34.62084479579026,-34.60310278050567,-34.58542429936506,-34.567808176862876,-34.55025327966854,-34.532758514395425,-34.5153228255233,-34.49794519346149,-34.48062463274115,-34.463360190326135,-34.44615094403308,-34.428996001051914,-34.41189449655928,-34.39484559241746,-34.377848475952575,-34.36090235880609,-34.34400647585415,-34.32716008419005,-34.31036246216511,-34.293612908484015,-34.27691074135069,-34.260255297661395,-34.24364593224167,-34.22708201712438,-34.21056294086598,-34.19408810789863,-34.1776569379158,-34.161268865289216,-34.14492333851525,-34.12861981968881,-34.11235778400318,-34.096136719274135,-34.079956125486916,-34.063815514364684,-34.04771440895726
9,-36.97716430862884,-36.2896519924663,-36.143203042582016,-36.05697489794635,-35.99354421476731,-35.94181932355684,-35.89712442664911,-35.857084802193604,-35.820342985245894,-35.78605616374854,-35.75366794959093,-35.72279316094526,-35.693154813642444,-35.66454743159472,-35.636814571240215,-35.60983446413136,-35.58351051633816,-35.557764829623395,-35.532533666829394,-35.50776420508381,-35.48341216403858,-35.45944004219208,-35.435815784330174,-35.412511760156605,-35.38950397120921,-35.36677142771898,-35.34429565368119,-35.32206028984466,-35.300050772327126,-35.278254070247755,-35.25665846985788,-35.23525339563396,-35.214029260995744,-35.19297734295311,-35.17208967621997,-35.15135896327296,-35.130778497553074,-35.110342097565535,-35.09004405006769,-35.06987906087566,-35.049842212090304,-35.02992892475772,-35.0101349261513,-34.9904562210011,-34.97088906610817,-34.9514299478733,-34.93207556234388,-34.91282279744474,-34.89366871710909,-34.87461054706835,-34.855645662094446,-34.83677157451786,-34.81798592386934,-34.79928646751389,-34.78067107216366,-34.762137706170876,-34.743684432515025,-34.725309402409366,-34.707010849461085,-34.688787084327465,-34.67063648981748,-34.65255751639411,-34.63454867803782,-34.61660854843629,-34.59873575746935,-34.5809289879614,-34.56318697267681,-34.5455084915362,-34.527892369034014,-34.51033747183968,-34.49284270656656,-34.47540701769444,-34.45802938563263,-34.440708824912285,-34.42344438249727,-34.40623513620422,-34.38908019322305,-34.371978688730415,-34.3549297845886,-34.33793266812371,-34.320986550977224,-34.30409066802529,-34.287244276361186,-34.27044665433625,-34.25369710065515,-34.23699493352183,-34.22033948983253,-34.20373012441281,-34.18716620929552,-34.170647133037114,-34.15417230006977,-34.13774113008694,-34.121353057460354,-34.105007530686386,-34.088704011859946,-34.07244197617432,-34.05622091144527,-34.040040317658054,-34.02389970653582,-34.0077986011284
